@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,8,1,9,4,6,13,7,12,11,10,3,5,14'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Air.Temp..F. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Max.Rel.Hum.... numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.28,751,13.8,87.1,52.6,70.1,94,31,55,53.2,5.1,122.4,72.9,True
0.29,762,14.9,91.9,54.2,73,94,31,54,55.2,4.7,112.3,74,False
0.31,794,11.8,89.6,55.3,71,89,17,46,49,5.5,132.3,74.1,False
0.3,794,13,90.9,49.9,71.9,82,29,49,51.5,4.8,114.8,73.6,False
0.31,787,14.4,98.7,54.6,78,90,21,44,54.4,4.2,100.8,74.8,True
0.35,776,13.5,99.5,64.5,83.6,67,22,34,52.6,6,145,76.6,False
0.32,762,15.7,93.1,59.3,75.1,81,32,53,56.6,8.1,195.3,76,False
0.26,762,15.6,88.8,54,69.5,99,39,63,56.5,3.6,86.5,75.1,True
0.3,798,12.4,92,52.3,71.8,92,20,47,50.2,4.7,113.1,74.1,True
0.28,786,13.5,86.7,51,68.9,96,28,56,52.6,4.6,111.2,74,False
0.28,770,12.8,87.2,52.4,69.6,91,30,52,51,4.5,108,74.1,False
0.32,765,13.6,95.6,55.2,76.3,87,22,44,52.7,5.4,130.7,74.2,False
0.34,767,14,101,64.5,82.9,63,22,36,53.6,5.8,139.6,76.1,False
0.31,755,16.1,92.4,58,75.5,92,32,54,57.4,6.4,154.6,76.3,False
0.26,654,16.1,88.3,56.6,70.5,97,38,63,57.4,4.9,118.1,74.2,False
0.28,758,15.2,85.8,53.3,69.5,99,39,62,55.9,5,120.6,73.8,False
0.26,769,14.2,78.5,52.3,65.8,98,48,66,54,6,143.2,73,False
0.28,777,14.3,89.5,51,71.2,99,29,55,54.1,5.2,124.5,73.1,False
0.28,604,13.4,93.2,63.7,77.7,73,19,41,52.3,5.8,139.5,74.6,True
0.33,741,11.8,94,60.1,78.6,75,11,35,48.9,5.9,142.2,74.9,False
0.31,773,11,96.2,56.1,76.6,84,13,35,47.1,4.2,101.2,75.1,True
0.35,770,9.9,98.1,56.4,79.9,66,15,28,44.2,6.2,147.9,74,True
0.33,767,12,97.1,62.4,79.4,56,23,35,49.4,6,144.1,74.8,True
0.3,761,14.4,93.7,56.5,76.3,94,27,47,54.4,5.2,123.6,75.1,False
0.3,714,15.9,91.8,59.5,75.8,91,33,52,57.1,6.7,160.6,75.3,False
0.28,610,15.6,93.7,67.9,79.5,64,29,45,56.5,6.1,147.5,76,False
