@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R8-9,1-2,4,3,5,7,10-11,6,13,12,14-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Air.Temp..F. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Max.Rel.Hum.... numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.24,665,15.3,86.7,53.5,70,99,39,61,56,5.3,127.4,74.6,False
0.25,723,10.9,73.7,50.1,61.9,80,42,58,46.8,8.1,193.7,68.4,False
0.23,659,10.2,73.4,52.3,61.9,76,35,54,45.1,6.5,156.7,68.3,False
0.25,717,11.9,81,48.8,64.3,86,37,58,49.2,5.4,128.7,69,False
0.24,719,13.1,85.4,51,65.6,90,40,61,51.7,4.5,108.9,70.2,False
0.26,736,11.2,76.9,51.1,62.9,86,38,57,47.5,7,168.4,69.8,False
0.22,678,11,71.5,50.1,60,83,45,62,47,6.6,158.5,68.8,False
0.25,717,12.2,83.8,47.7,65,91,35,58,49.8,4.6,111.1,69.4,False
0.09,285,8.1,82.3,43.8,60.5,70,25,45,39,2.5,60.2,58.5,False
0.23,718,12.3,72.5,51.9,61.1,89,47,67,49.9,5.9,141.6,69.7,False
0.12,358,2.9,71.3,39.4,53.6,41,13,21,14.3,3.9,94.1,57,False
0.1,309,11.6,67.9,50.1,59.8,89,55,66,48.5,5.3,127.4,67.4,False
0.19,571,13.1,77.4,50.1,63.3,92,46,66,51.7,4.7,113.3,67.7,False
0.29,649,14.3,95.9,62.4,78.7,94,15,43,54.2,5.6,134.3,74.5,False
0.29,749,14.1,95.2,54.4,76.5,86,27,45,53.7,4.6,109.5,72.9,False
0.31,748,13.9,97,58.3,77.9,87,22,43,53.4,5.4,129.2,74.6,False
0.28,738,18.8,96.5,58.4,77.7,99,33,58,61.7,4.6,110,72.1,False
0.28,742,14.6,94.2,55.4,74.2,99,30,51,54.8,3.7,88.2,73.4,False
0.28,609,15.3,97.1,60.5,78,99,20,47,56,6.4,153.9,76.1,False
0.29,768,12.7,98.7,52.7,76.2,87,20,41,51,3.6,86.4,72.8,False
0.29,757,14.3,98.8,56,78.2,85,24,43,54.2,3.7,88.4,75.1,False
0.33,773,10.7,90.5,53.3,73.6,79,18,38,46.3,7.4,176.9,74.2,False
0.22,552,11.1,94.3,56.7,75.8,67,20,37,47.4,4.3,104,72.5,False
0.26,748,11.6,76.2,50.8,63,80,42,59,48.5,6.3,151.4,71.8,False
0.21,574,14.1,85.8,56,70.1,94,34,56,53.7,6,143.4,72.4,False
0.31,765,11,88,51.2,72,76,26,41,46.9,6.4,154.7,72.8,False
0.28,690,11.2,76.4,56.2,66.4,79,33,50,47.4,8.5,204.7,72.4,False
0.27,762,12.1,77.6,55.3,66.8,90,32,54,49.6,6.1,147.5,70.8,False
0.29,777,12,90.4,53.9,72.7,66,26,44,49.4,5,119.1,73.1,False
0.32,777,13.4,96.6,54.7,77.4,86,20,42,52.4,5.2,124.9,74.8,False
0.3,775,15,96,54.3,76.1,93,30,49,55.3,4.5,108.3,75.7,False
0.04,123,8.3,68.1,49.5,55.6,57,50,55,39.6,2.9,68.6,52.1,False
0.27,771,12.9,83.9,52.1,66.9,99,35,57,51.2,5,119.5,74.1,False
0.27,773,13.1,83.6,48.7,65.2,92,40,62,51.8,5.9,141.7,73.1,False
0.25,756,12.6,80.6,54.8,66.1,76,40,57,50.6,5.8,139.5,73.3,False
0.17,446,7.9,91.8,50.8,70.9,60,18,31,38.5,3.5,84.6,66.4,False
0.31,794,11.8,89.6,55.3,71,89,17,46,49,5.5,132.3,74.1,False
0.3,794,13,90.9,49.9,71.9,82,29,49,51.5,4.8,114.8,73.6,False
0.23,568,12.5,87.8,52.2,70.6,88,15,49,50.4,6.2,148.9,71.6,False
0.23,541,10.2,89.1,55.2,73.1,60,21,37,45.1,5.7,136.5,68.5,False
0.1,324,8.1,80.3,42.4,58.7,68,25,48,39,2.8,68,58.1,False
0.28,770,12.8,87.2,52.4,69.6,91,30,52,51,4.5,108,74.1,False
0.26,736,16.2,85.7,55.2,69.6,99,41,66,57.6,5.8,139.2,70.1,False
0.34,767,14,101,64.5,82.9,63,22,36,53.6,5.8,139.6,76.1,False
0.31,755,16.1,92.4,58,75.5,92,32,54,57.4,6.4,154.6,76.3,False
0.26,654,16.1,88.3,56.6,70.5,97,38,63,57.4,4.9,118.1,74.2,False
0.28,758,15.2,85.8,53.3,69.5,99,39,62,55.9,5,120.6,73.8,False
0.26,769,14.2,78.5,52.3,65.8,98,48,66,54,6,143.2,73,False
0.21,536,10.3,87.6,54,71.3,71,21,39,45.2,5.3,128.1,68.1,False
0.33,741,11.8,94,60.1,78.6,75,11,35,48.9,5.9,142.2,74.9,False
0.3,761,14.4,93.7,56.5,76.3,94,27,47,54.4,5.2,123.6,75.1,False
0.3,714,15.9,91.8,59.5,75.8,91,33,52,57.1,6.7,160.6,75.3,False
0.28,610,15.6,93.7,67.9,79.5,64,29,45,56.5,6.1,147.5,76,False
0.32,722,14.6,96.4,64.2,80.5,67,27,41,54.8,6.3,150,76.7,False
0.28,731,17.8,98.2,57.7,77.8,99,32,55,60.1,4.4,105.3,75.8,False
0.3,722,14.8,103.1,56.3,79.8,100,14,42,55,5.1,121.6,73.7,False
0.28,696,17.8,91.5,58,74.5,97,41,61,60.2,6.4,153.6,75.3,False
0.3,674,14.1,94.5,63.1,78,83,24,43,53.7,6.5,156.9,76.2,False
0.29,707,15.7,96.6,62.3,78.2,83,27,48,56.6,5.4,129.7,76.7,False
0.3,718,16.9,98.4,63.2,79.5,85,28,49,58.8,5.1,122.4,77.1,False
0.32,728,15.8,99.4,60.2,80.3,91,22,45,56.8,5.6,135.5,76.6,False
0.35,730,13.6,102.5,62,82,84,13,36,52.7,6.4,152.5,76.4,False
0.28,708,15.9,91,59.4,74.9,99,30,54,57,6.3,150.8,73.8,False
0.28,698,17.3,96.6,58.3,76.8,99,30,55,59.4,5.3,127.8,75,False
0.25,672,17.2,99,58.4,75.8,94,30,56,59.2,3.3,80.1,76.5,False
0.27,672,15.6,98.3,57.9,76.5,93,23,50,56.5,4.3,102.1,75.3,False
0.27,714,13.7,97.7,56,75.5,88,16,45,52.9,4.3,103.2,75,False
0.27,713,13.3,97.1,56.1,75,87,20,45,52.1,4.2,101.6,74.8,False
0.23,592,14.6,92.5,55.3,72.8,99,22,53,54.7,4.5,107.9,74.3,False
0.19,392,8.8,88.5,49.9,68.5,79,19,37,41.1,6.3,150.3,63.3,False
0.27,663,12.2,94.6,54.4,74.4,85,16,42,49.7,5,120.9,73.4,False
0.29,636,10.9,99,56.9,77.4,70,13,34,46.7,5.1,123.1,72.5,False
0.23,568,13.9,94.4,57.3,74.2,91,22,48,53.4,3.1,75.4,72.9,False
0.25,625,15.6,94.3,57.2,74.6,90,28,53,56.6,4,96.4,73.2,False
0.27,660,15.3,101,57.7,78,96,19,47,56,4.3,103.9,74,False
0.32,661,13.6,101.7,57.2,79.9,95,17,39,52.7,6.4,153.2,73.9,False
0.2,374,8.1,87.9,58.9,73.4,55,15,29,39.1,7,167.7,64.2,False
0.27,659,12.9,97.3,57.9,77.1,84,13,41,51.4,4.6,110.9,74.5,False
0.26,659,14.1,94.7,57.1,73.9,91,17,49,53.6,4.7,113.6,73.2,False
0.24,656,14.8,86.5,56.8,70.1,98,32,59,55.1,4.2,99.8,72.8,False
0.18,462,8.5,91.4,52.7,70.8,57,17,33,40.3,4,97.2,65.9,False
0.26,647,14.8,94,56.5,74.3,97,25,51,55,4.9,117.6,73.2,False
0.28,656,11.8,98.5,57.5,77,86,12,37,49,5.6,134.4,73.2,False
0.24,653,14.9,86.9,53.6,70,99,33,60,55.3,4.6,109.3,74.2,False
0.25,681,16,91.2,54.6,73.9,99,33,56,57.2,3.9,92.9,73,False
0.24,653,14.3,91.2,52.2,71,92,27,55,54.1,4.6,110.5,72,False
0.26,704,13,88.5,53.9,69.8,99,29,52,51.6,4,97.1,72.8,False
0.23,615,14.8,85.2,52.5,68.6,95,40,62,55.1,5.8,140.1,70.6,False
0.23,601,13.8,85.1,51.7,67.9,97,35,59,53.1,5.6,133.5,70.3,False
0.21,588,13.9,83.2,50.3,66.3,94,42,63,53.4,4.3,102.5,69.7,False
0.22,582,13.1,87.5,51.3,68.7,93,31,55,51.8,4.7,113.6,69.7,False
0.24,657,11.9,86.4,47.8,67.2,94,20,52,49.1,5,119.2,69.3,False
0.22,616,14.7,80.8,53.3,67.1,98,47,65,54.9,5.3,127.6,69.1,False
0.22,618,14.3,81.2,53.8,67,99,41,63,54.1,5.9,141.7,69.2,False
0.29,692,15.8,99.4,58.4,78.7,96,23,47,56.9,4.9,118.3,74.8,False
0.22,589,13.8,79.3,53.1,67.5,94,42,60,53.2,6.2,149.9,69.3,False
0.23,606,14,88.3,52.7,70.1,98,32,56,53.6,4.6,111.2,69.6,False
0.27,689,12.1,80.2,51.5,66.7,99,32,54,49.5,6.8,162,69.2,False
0.24,590,14,94.9,55.3,74.8,87,26,47,53.5,4.8,114.2,71.1,False
0.29,758,14.9,86.2,55.9,70.9,99,32,58,55.3,5.5,131.8,72.9,False
0.22,587,14.4,90.4,53.5,70.9,90,32,56,54.4,4.7,113.8,69.8,False
0.22,589,14.6,85.6,54.7,69.2,90,38,60,54.8,6.7,159.9,69.8,False
0.08,259,5.9,64.9,37.9,50.9,59,31,47,31.3,4.1,98.2,46.1,False
0.24,601,13.5,95.9,53.8,74.7,91,21,46,52.6,5,120.4,70.4,False
0.26,608,10.4,96.5,54.3,75.3,81,13,35,45.7,5.3,128,70.4,False
0.18,393,8.7,85.8,53.3,68.8,60,21,36,40.9,5.9,141.1,63.5,False
0.29,711,14.8,95.1,58.2,77.8,99,25,45,55.1,4.7,112.1,74.4,False
0.22,589,9.2,92.7,50.3,73.1,75,12,33,42.2,4.4,105.9,68.7,False
0.29,713,15.6,95.4,61.1,79.1,99,26,46,56.5,4.7,113.2,74.3,False
0.22,543,16.4,84.9,61.9,72.4,96,38,60,57.9,7.4,176.7,72.8,False
0.28,749,15,87.6,56,72.7,99,30,55,55.4,5.7,136.6,68.6,False
0.28,667,12.9,101.6,61,80.1,94,12,37,51.3,4.8,116.3,74.4,False
0.21,573,10.9,82.6,48.7,66.1,82,25,50,46.9,6.5,155.7,66.5,False
0.29,590,10.7,102.1,59,81.5,67,11,29,46.4,5.9,141.6,76,False
0.19,561,11.5,81.5,45.8,64.4,92,31,56,48.1,4.7,112,65.2,False
0.21,544,11.1,89,48.9,69.2,88,20,46,47.4,5.1,122.2,65.7,False
0.22,545,8,92.7,57.1,74.8,52,13,27,38.7,4.4,105.9,66.7,False
0.22,531,8.7,93.6,51.3,73.1,56,15,31,41,4.7,113.8,66.6,False
0.21,522,10.1,91.8,49.9,71.1,63,20,39,44.7,4.5,107.1,67.1,False
0.24,462,3.6,78.7,51,63.9,34,11,18,19.4,9.8,234.4,63.7,False
0.19,470,11.2,90.9,51.8,72.8,72,19,41,47.5,4.4,105.5,69,False
0.17,444,8.3,72.2,45.7,59.3,69,30,48,39.8,7.3,175,66.7,False
0.19,486,10.1,96.9,53,73.6,74,14,36,44.9,3.6,85.3,66.6,False
0.19,472,12.2,94.6,53.9,72.5,82,17,45,49.9,4.3,104.2,67.3,False
0.18,466,12.8,84.7,51.8,66.1,97,35,58,51.1,6.4,153.8,66.8,False
0.13,370,13.8,78.3,55.7,65.7,89,44,64,53.2,6.1,147,66.6,False
0.15,412,14.4,81.1,54.4,68.1,96,43,61,54.3,3.8,90.3,67.3,False
0.13,331,13.3,81.5,55.5,69.2,79,39,54,52.1,4,94.9,67.6,False
0.29,754,14.4,95.3,57.6,77.8,99,24,44,54.3,4.3,102.1,74.4,False
0.14,430,15.7,77.2,55.7,66,99,47,72,56.7,5.3,126.3,68.1,False
0.16,445,12.7,79.8,50.5,65.3,84,39,59,50.9,5.2,123.9,65.9,False
0.22,457,10.9,81.9,56.1,70,69,24,43,46.8,8.9,214.4,65.8,False
0.31,479,7.3,82.3,62.4,71.3,45,16,28,36.4,14.7,353.3,64.7,False
0.3,749,18.1,96.2,61.3,78.8,99,33,54,60.7,5.3,126.4,73.9,False
0.26,618,13.9,98.8,55.7,78,96,19,42,53.4,4.5,106.8,75.2,False
0.31,672,13.2,104.2,59.8,83.9,84,12,33,51.8,5.7,137.4,75.1,False
0.14,433,11.5,77,49.2,63.4,89,37,58,48.3,4.2,100.2,63.9,False
0.19,443,8.2,86.9,51.4,68.8,74,17,34,39.3,5.5,132.5,63.5,False
0.18,449,8,87.1,50.2,67.1,61,15,35,38.8,5.1,123.1,63.3,False
0.27,682,14.9,93.7,55.1,75.1,99,24,50,55.3,3.7,87.8,73.1,False
0.2,455,3.7,83.1,53.2,66.3,26,9,17,20.1,6.6,159.1,61.7,False
0.17,442,5.1,85.2,43.3,64.1,45,12,25,27.8,4.3,102.6,60.2,False
0.3,614,13,101,62.1,81.9,69,21,35,51.6,5.8,140.1,76.3,False
0.27,726,14.7,86.4,54.6,71.5,99,27,56,54.9,5.5,132.7,73.1,False
0.14,415,8.4,86.2,45.4,65,72,19,40,39.9,3.5,85,61,False
0.13,408,8.5,87.3,46.7,64.7,64,21,41,40.4,2.9,70.3,61.7,False
0.14,403,10.8,81.1,44.2,61.6,83,31,58,46.7,5.3,126.8,60.7,False
0.05,98,10.9,64.6,53.5,59,95,51,64,46.8,4.4,106.5,54,False
0.29,741,15.7,92.9,57.7,75.8,99,28,52,56.8,4.9,118.5,73.2,False
0.3,659,14.1,103.7,63.3,83.2,79,19,36,53.6,5.3,128.3,76.7,False
0.13,384,11.1,83.8,49.6,65,93,28,53,47.3,3.7,89.5,60.7,False
0.12,358,11.1,85.2,47.6,65.6,83,29,52,47.3,2.8,68.3,61.4,False
0.12,370,12.7,84.8,50.8,66.9,73,39,57,51,3.7,88.2,62.2,False
0.28,695,16.2,94.2,60.9,76.6,94,31,52,57.6,5.7,137.9,74.4,False
0.13,306,8.1,74.5,51.8,62.1,56,27,42,39,6.9,164.9,60.5,False
0.19,376,6.2,78.7,53,65.5,53,16,29,32.5,9.1,218.2,58.2,False
0.16,347,5.8,78.7,50.8,64.6,41,14,28,30.8,5.6,134.4,58,False
0.12,260,5.9,63.2,47.5,54.1,55,28,41,31,8.6,205.3,48.5,False
0.13,355,10.2,83.2,45.6,63.9,79,30,51,45.2,4.4,105.7,59.8,False
0.15,317,6.9,87.2,53,68.2,57,14,29,35.1,4.4,106,59.6,False
0.11,342,7.8,85.7,48.6,64.9,53,22,37,38,3.2,77,59.9,False
0.3,707,15.6,103.5,65.4,84.8,68,20,38,56.6,3.6,85.7,74,False
0.16,433,5.9,81.1,43.9,61.2,59,17,32,31.1,3.9,94.2,62.5,False
0.14,344,4.5,76.7,43.3,59.1,48,14,26,24.4,5.8,139.4,55.2,False
0.25,558,13.6,97.2,60.6,77.9,75,20,42,52.8,5.4,128.6,74.9,False
0.18,477,15.3,79.4,59.1,67.8,96,35,66,56,8.6,205.3,71.6,False
0.08,212,4,65.7,32.8,46.7,61,20,36,21.5,3.4,80.4,50.2,False
0.22,563,12.7,89.8,54,72.4,93,23,47,50.9,5.3,126.3,71.8,False
0.28,619,16.6,96.7,61.4,79.4,95,26,48,58.2,6,144.2,76.5,False
0.37,778,7.2,87.6,62.9,74.3,34,19,25,36.2,10.6,254.1,67.4,False
0.08,244,4.2,67.6,32.4,47.8,61,18,37,22.9,2.9,70,48.8,False
0.07,224,5.2,64.3,31.1,45.6,75,33,50,28.1,2.7,65.9,48.4,False
0.07,213,4.7,70.1,33.8,47.3,66,20,42,25.5,2.4,58.6,48.2,False
0.07,228,5.6,66.5,31.9,47.1,78,32,51,29.8,3.1,74.4,48.1,False
0.07,252,6,68.1,32.5,47.4,78,33,54,31.7,2.7,64.1,48.3,False
0.07,220,5.8,68.2,34.2,48.9,70,30,49,30.6,2.9,69.7,48.4,False
0.07,240,6.3,68.1,32.6,49.2,88,33,53,32.7,2.6,62.8,48.6,False
0.05,227,15.7,69.3,51.3,58.8,100,69,93,56.6,4.9,117.1,57.1,False
0.3,724,14.4,92.8,62.2,75.9,78,26,47,54.2,6.1,146.6,74.1,False
0.05,214,12.7,66.7,43,54,99,68,89,50.9,2.8,67.3,54.4,False
0.26,747,13.4,79.1,52.4,66.3,99,40,61,52.3,5.4,129.4,70.7,False
0.06,275,8.6,59.5,37.2,47.8,99,50,76,40.6,3.9,92.5,51,False
0.17,503,7.5,76.4,42.4,59.4,73,23,43,37.2,5.4,130.7,64.2,False
0.07,270,9.7,63.2,44.3,52.7,90,50,72,43.9,5.3,127.7,52.4,False
0.06,259,9.2,68.3,36.8,49,99,44,78,42.3,2.9,69.4,50.6,False
0.02,119,10.8,56.4,40.2,46.5,100,99,100,46.6,3.4,81.9,50.5,False
0,33,11,50.6,40.7,47.2,100,99,100,47.2,2.8,66.4,51.7,False
0.26,578,13.6,95.3,61,77.6,75,22,42,52.8,5.4,130.8,76.3,False
