@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,12,14'

@attribute Sol.Rad..Ly.day. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Wind.Run..miles. numeric
@attribute class {False,True}

@data
486,96.9,14,36,85.3,False
472,94.6,17,45,104.2,False
466,84.7,35,58,153.8,False
370,78.3,44,64,147,False
412,81.1,43,61,90.3,False
331,81.5,39,54,94.9,False
417,85.9,39,57,140.1,False
270,81.2,51,74,105.7,True
430,77.2,47,72,126.3,False
445,79.8,39,59,123.9,False
457,81.9,24,43,214.4,False
479,82.3,16,28,353.3,False
465,84.6,17,29,164.4,False
453,86.6,30,47,149.3,False
445,77.3,39,60,133.1,False
433,77,37,58,100.2,False
443,86.9,17,34,132.5,False
449,87.1,15,35,123.1,False
449,82.8,11,30,207.7,False
455,83.1,9,17,159.1,False
442,85.2,12,25,102.6,False
421,83.9,20,42,74.8,False
416,83.4,23,44,76.8,False
415,86.2,19,40,85,False
408,87.3,21,41,70.3,False
403,81.1,31,58,126.8,False
400,79.5,37,61,97,False
354,72.2,47,64,111.4,False
376,81.2,30,56,93,False
384,83.8,28,53,89.5,False
358,85.2,29,52,68.3,False
370,84.8,39,57,88.2,False
353,79.8,47,60,189.4,False
306,74.5,27,42,164.9,False
376,78.7,16,29,218.2,False
347,78.7,14,28,134.4,False
333,84.1,30,45,104,False
355,83.2,30,51,105.7,False
317,87.2,14,29,106,False
342,85.7,22,37,77,False
351,81.9,13,34,128.9,False
356,78.9,15,29,100.9,False
344,76.7,14,26,139.4,False
326,72.4,13,18,260.4,False
280,68.2,14,22,108.6,False
212,65.7,20,36,80.4,False
300,69,17,31,107.1,False
282,71.7,24,42,58.5,False
173,64.4,31,47,64.2,False
244,67.6,18,37,70,False
224,64.3,33,50,65.9,False
213,70.1,20,42,58.6,False
228,66.5,32,51,74.4,False
252,68.1,33,54,64.1,False
220,68.2,30,49,69.7,False
240,68.1,33,53,62.8,False
89,58.9,64,91,83.6,True
234,65.5,56,79,155.5,True
67,62.1,99,100,168,True
227,69.3,69,93,117.1,False
289,69.5,43,76,87.9,False
214,66.7,68,89,67.3,False
86,62,81,98,86.3,True
118,63.7,97,99,156.8,True
116,60.5,79,92,207.8,True
260,63.8,48,68,161.1,False
215,59.6,57,79,186,True
275,59.5,50,76,92.5,False
253,57.6,63,85,95.1,False
67,51.5,80,88,91.6,True
118,58,85,93,132.8,True
270,63.2,50,72,127.7,False
259,68.3,44,78,69.4,False
119,56.4,99,100,81.9,False
33,50.6,99,100,66.4,False
142,61,68,92,74.4,False
268,62,43,75,97.1,False
221,65.9,43,78,117,False
208,60.9,65,92,71.9,False
148,65.4,58,88,112.5,False
156,60.2,76,96,59.8,False
38,55.3,99,100,101.6,True
225,66.4,57,89,82.4,True
251,65,57,86,57.7,False
123,63.8,76,98,79.9,False
41,53.1,99,99,68.1,True
88,58.4,88,99,100.1,True
211,58.3,49,72,103.1,False
162,58.3,66,88,87.1,False
93,58.8,83,95,145,True
266,62.7,47,70,249.7,True
258,65.7,39,66,80.2,False
274,59.3,34,58,299.2,False
274,58.4,29,44,257.4,False
254,62.4,34,59,86.5,False
261,64.6,45,79,83.6,False
276,56.4,29,48,355.9,False
279,58.5,23,41,190.1,False
269,57.5,34,63,64.3,False
242,55.7,52,77,69.8,False
244,56.8,58,84,57.4,False
76,55.4,67,93,167.4,True
36,51.8,99,100,276.5,True
176,61.4,81,96,113.4,False
44,55.9,99,100,94.5,False
183,63.4,69,93,139.3,True
107,51.5,100,100,61.8,False
107,56.6,92,99,136.2,True
204,58.4,85,98,88.2,False
185,57.4,87,99,69.2,False
77,54.5,89,98,107.3,True
36,56.9,95,99,226.5,True
36,59.3,90,99,252.7,True
117,61.1,71,85,142.7,True
198,64.8,64,90,64.3,False
234,68.6,76,95,54.8,True
167,64,80,93,211.7,True
312,61.3,50,70,200.5,False
311,63.2,34,56,166.3,False
312,63.8,50,78,76.1,False
320,64.6,50,77,90.8,False
323,69.3,45,75,67.9,False
220,60.6,65,90,62.2,False
294,72.3,42,75,70.4,False
183,63,66,90,63.5,False
258,70.5,57,84,70.2,False
272,63.9,79,97,75.6,False
240,67.1,70,90,91.6,True
121,59.9,88,98,160.5,True
179,61.8,57,82,308.1,True
174,58.3,70,91,251.7,True
169,52.2,71,92,184.7,True
319,51.5,47,77,129.4,False
368,57.1,53,79,73,False
314,54.5,52,85,65.9,False
169,52.5,68,93,79.5,True
203,55.4,75,94,201.7,True
373,52.5,51,78,172.6,True
281,53.7,54,81,75.5,False
110,47.3,79,96,62.9,True
85,62.1,52,91,309.7,True
234,62.5,75,90,276.4,True
271,55.1,66,85,180.1,True
361,55.9,61,79,229.7,True
372,56.6,52,77,158.7,True
432,56.1,35,52,220.7,False
431,59.6,34,54,116.9,False
314,58.9,46,70,162.6,True
441,57.2,33,58,270.1,False
452,59.9,23,39,177,False
329,59.4,40,64,66.7,False
318,60.6,54,77,88.9,False
96,58.2,65,77,241.9,False
38,58.6,63,86,189.6,True
201,65.9,79,94,243.3,True
279,61.8,52,78,77.5,False
214,57.7,59,83,51.9,False
82,54.5,99,100,112.5,True
205,64.7,76,91,121.1,True
218,61.1,68,87,56.1,False
135,56.6,95,99,163.6,True
222,62.1,74,95,250.7,True
140,57.2,70,87,112.3,True
431,58.1,43,60,221,False
203,55.8,73,90,144.3,True
307,59.7,61,87,133.7,True
523,67.7,31,60,167.8,False
483,65.4,37,52,253.9,False
546,64.7,24,36,292.4,False
543,66.9,24,42,160.6,False
531,70.8,30,54,89.6,False
541,75.7,28,56,76.1,False
478,74.6,41,65,77.3,False
534,76.3,39,65,74.7,False
344,72.7,36,65,110.4,True
405,64.4,47,81,168.5,True
552,67.3,39,67,111.5,False
188,60.2,67,92,74.5,True
429,66.2,47,78,109.6,True
403,64,53,83,77,False
238,67.7,39,79,134.3,True
438,68.2,59,83,94.4,True
170,62.8,59,84,152.3,True
416,66.4,48,82,136,False
584,66.9,44,71,137.4,False
594,71.5,38,63,137.6,False
560,76.7,32,56,112.6,False
239,69.1,46,74,72.4,True
417,67.1,59,88,134.3,True
274,66,60,85,73.9,False
350,66.7,51,77,117.9,False
221,67.7,68,95,84.8,True
442,72.3,46,81,99.8,False
557,77.2,55,74,109.2,False
387,77,54,76,131.4,False
631,69.7,37,56,286,False
652,74.7,26,42,266.5,False
422,68.2,40,48,265.9,False
649,76.8,26,47,202.8,False
609,79.7,35,55,102.3,False
628,75.5,38,58,165.4,False
247,63.9,39,61,144.5,False
549,69.7,44,68,164.7,False
661,78.5,32,59,89.1,False
654,85.4,37,60,80.9,False
580,84.9,35,57,133.8,False
613,70.3,46,66,247.6,False
680,78.3,33,57,147.9,False
686,88.1,16,34,197.6,False
675,91,23,39,140.5,False
660,92.3,32,51,112,False
678,92.2,24,50,110.2,False
670,87.9,30,54,105.4,False
637,81.2,28,53,117.3,False
676,79.1,43,64,112,False
682,79.2,39,61,119.4,False
673,74.1,34,57,129.3,False
712,80.9,16,42,142.2,False
711,82.9,16,36,129.3,False
675,85.2,16,35,112.7,False
715,82.2,12,46,123.5,False
658,73.1,37,57,193.1,False
647,70.6,50,64,182.9,False
688,78.9,41,64,127.6,False
687,80.3,43,65,146.1,False
663,75.6,49,71,159.8,False
702,86.2,25,55,140.5,False
711,84.1,38,63,105.8,False
712,85.2,26,53,126.9,False
686,84.5,26,45,159.9,False
476,76.7,38,64,174.6,False
209,68.6,66,84,163.1,True
399,62.5,66,83,203.3,True
530,68.9,44,62,174.2,False
207,62.4,65,90,117.5,True
286,62.1,75,97,113.7,True
560,69.1,52,75,127.1,False
586,67.4,51,72,270.7,True
671,77.9,32,58,189.5,True
671,81.4,36,54,147.2,True
727,80.5,44,69,98.1,False
753,76.2,35,63,181.1,False
534,64.1,44,61,240.9,True
490,71.6,49,71,135,False
735,81.9,39,62,130.2,False
730,87.9,33,58,124,False
736,82.8,40,63,123.5,False
749,87.6,30,55,136.6,False
736,91.3,31,55,139.1,False
736,85.7,41,66,139.2,False
729,90.1,39,63,111,False
738,96.5,33,58,110,False
742,95,27,52,132,False
769,82.1,22,37,202.3,False
774,80.2,14,36,173.1,False
778,87.6,19,25,254.1,False
724,94.1,20,30,110.8,False
743,101.3,22,37,89.9,False
707,103.5,20,38,85.7,False
745,99.2,20,37,129.6,False
747,91,28,45,130.8,False
751,91.1,37,58,104.7,False
757,83.9,34,62,95.2,False
746,88.9,38,62,82.5,False
735,93,33,59,104.2,False
749,96.2,33,54,126.4,False
756,91.5,36,60,129.2,False
758,86.2,32,58,131.8,False
782,87,22,40,153.7,False
772,93.8,19,35,163.4,False
